ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,25.0,0.0,150.0,150.0,,,,,0.0,58.0,58.0,89.0,,,,,,,,,,,,,,,,,,left,1.0,3.63318196125,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,19.0,11.0,,,,,0.0,59.0,59.0,5.0,,,,,,,,,,,,,,,,,,left,1.0,3.31706314022,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,150.0,61.0,,,,,0.0,60.0,60.0,79.0,,,,,,,,,,,,,,,,,,left,1.0,0.866895147134,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,105.0,60.0,,,,,0.0,61.0,61.0,48.0,,,,,,,,,,,,,,,,,,right,1.0,0.767751871608,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,55.0,90.0,,,,,0.0,62.0,62.0,81.0,,,,,,,,,,,,,,,,,,right,1.0,1.86624075472,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,55.0,151.0,,,,,0.0,63.0,63.0,86.0,,,,,,,,,,,,,,,,,,right,0.0,2.49983498827,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,35.0,89.0,,,,,0.0,64.0,64.0,51.0,,,,,,,,,,,,,,,,,,left,1.0,3.73333381303,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,125.0,149.0,,,,,0.0,65.0,65.0,88.0,,,,,,,,,,,,,,,,,,right,0.0,3.54983766098,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,75.0,59.0,,,,,0.0,66.0,66.0,77.0,,,,,,,,,,,,,,,,,,left,1.0,1.58389999345,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,125.0,4.0,,,,,0.0,67.0,67.0,63.0,,,,,,,,,,,,,,,,,,left,1.0,0.733277267311,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,20.0,59.0,,,,,0.0,68.0,68.0,15.0,,,,,,,,,,,,,,,,,,left,0.0,1.75033670617,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,125.0,59.0,,,,,0.0,69.0,69.0,78.0,,,,,,,,,,,,,,,,,,left,1.0,1.74998252233,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,39.0,59.0,,,,,0.0,70.0,70.0,16.0,,,,,,,,,,,,,,,,,,right,0.0,3.78301263135,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,151.0,4.0,,,,,0.0,71.0,71.0,34.0,,,,,,,,,,,,,,,,,,left,1.0,0.767544707283,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,75.0,90.0,,,,,0.0,72.0,72.0,82.0,,,,,,,,,,,,,,,,,,left,1.0,1.55014198227,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,10.01,150.0,,,,,0.0,73.0,73.0,25.0,,,,,,,,,,,,,,,,,,right,0.0,1.1999916723,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,15.0,61.0,,,,,0.0,74.0,74.0,45.0,,,,,,,,,,,,,,,,,,right,0.0,4.78318483988,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,150.0,4.0,,,,,0.0,75.0,75.0,64.0,,,,,,,,,,,,,,,,,,right,1.0,0.950370016973,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,20.0,90.0,,,,,0.0,76.0,76.0,20.0,,,,,,,,,,,,,,,,,,left,0.0,2.56652389653,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,104.0,90.0,,,,,0.0,77.0,77.0,53.0,,,,,,,,,,,,,,,,,,right,1.0,1.20010579238,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,39.0,6.0,,,,,0.0,78.0,78.0,1.0,,,,,,,,,,,,,,,,,,right,1.0,0.80022474518,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,59.0,9.0,,,,,0.0,79.0,79.0,7.0,,,,,,,,,,,,,,,,,,right,1.0,0.700178788509,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,39.0,150.0,,,,,0.0,80.0,80.0,26.0,,,,,,,,,,,,,,,,,,right,0.0,2.49975993577,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,39.0,29.0,,,,,0.0,81.0,81.0,11.0,,,,,,,,,,,,,,,,,,right,0.0,6.11587988771,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,35.0,11.0,,,,,0.0,82.0,82.0,65.0,,,,,,,,,,,,,,,,,,left,1.0,1.06677783979,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,40.0,91.0,,,,,0.0,83.0,83.0,21.0,,,,,,,,,,,,,,,,,,right,0.0,1.79996925918,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,109.0,149.0,,,,,0.0,84.0,84.0,28.0,,,,,,,,,,,,,,,,,,left,0.0,2.45000452362,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,149.0,61.0,,,,,0.0,85.0,85.0,19.0,,,,,,,,,,,,,,,,,,left,1.0,3.1830540644,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,60.0,60.0,,,,,0.0,86.0,86.0,17.0,,,,,,,,,,,,,,,,,,right,1.0,3.41587947682,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,150.0,30.0,,,,,0.0,87.0,87.0,14.0,,,,,,,,,,,,,,,,,,left,1.0,1.76777449017,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,56.0,9.0,,,,,0.0,88.0,88.0,37.0,,,,,,,,,,,,,,,,,,right,1.0,1.35006394843,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,150.0,9.0,,,,,0.0,89.0,89.0,69.0,,,,,,,,,,,,,,,,,,right,1.0,0.534027890768,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,6.46575929085,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
