key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.82298,0.0,59.0,59.0,70.0,1.0,25000.0,0.0,35000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.61575,0.0,60.0,60.0,3.0,1.0,10000.0,0.0,109000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,5.76236,0.0,61.0,61.0,29.0,1.0,10000.0,0.0,151000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.48136,0.0,62.0,62.0,69.0,1.0,25000.0,0.0,150000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,5.09578,0.0,63.0,63.0,77.0,1.0,25000.0,0.0,75000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.67779,0.0,64.0,64.0,44.0,1.0,5000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,5.462275,0.0,65.0,65.0,73.0,1.0,25000.0,0.0,125000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,2.143515,0.0,66.0,66.0,50.0,1.0,5000.0,0.0,15000.0,91.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.82631,0.0,67.0,67.0,67.0,1.0,25000.0,0.0,75000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,2,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.90176,0.0,68.0,68.0,58.0,1.0,5000.0,0.0,106000.0,152.0
