key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.04142,0,56,56,50,1,5000,0,15000,91,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.5491,0,57,57,84,1,25000,0,150000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,12.636465,0,58,58,6,1,10000,0,40000,10,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.252165,0,59,59,24,1,10000,0,149000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.983335,0,60,60,46,1,5000,0,36000,61,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.888275,0,61,61,28,1,10000,0,109000,149,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.208735,0,62,62,23,1,10000,0,110000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.81702,0,63,63,49,1,5000,0,149000,59,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.750235,0,64,64,63,1,25000,0,125000,4,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,0,3.48087,0,65,65,35,1,5000,0,15000,11,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.06889,0,66,66,80,1,25000,0,35000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.85498,0,67,67,41,1,5000,0,35000,31,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.072855,0,68,68,17,1,10000,0,60000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.933845,0,69,69,39,1,5000,0,149000,10,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.51709,0,70,70,78,1,25000,0,125000,59,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,8.348405,0,71,71,68,1,25000,0,125000,9,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.46583,0,72,72,72,1,25000,0,75000,31,,
,,,,,,,,,,,,,,,,,,,,,,002,84,2020-11-13_09h49.36.574,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.95706,0,73,73,43,1,5000,0,106000,29,,
