key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,78.0,78.0,46.0,1.0,5000.0,0.0,36000.0,61.0,1.365,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,79.0,79.0,29.0,1.0,10000.0,0.0,151000.0,151.0,1.015,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,80.0,80.0,44.0,1.0,5000.0,0.0,150000.0,30.0,2.498,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,81.0,81.0,41.0,1.0,5000.0,0.0,35000.0,31.0,2.662,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,82.0,82.0,3.0,1.0,10000.0,0.0,109000.0,5.0,1.053,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,83.0,83.0,73.0,1.0,25000.0,0.0,125000.0,31.0,2.705,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,84.0,84.0,27.0,1.0,10000.0,0.0,61000.0,150.0,1.33,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,85.0,85.0,57.0,1.0,5000.0,0.0,55000.0,151.0,1.747,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,86.0,86.0,59.0,1.0,5000.0,0.0,151000.0,150.0,6.958,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,87.0,87.0,35.0,1.0,5000.0,0.0,15000.0,11.0,1.406,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,88.0,88.0,11.0,1.0,10000.0,0.0,39000.0,29.0,2.614,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,89.0,89.0,47.0,1.0,5000.0,0.0,56000.0,60.0,1.279,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,,left,1.67
