key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del,key_resp_4_keys,key_resp_4_rt
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.120045,0.0,69.0,69.0,89.0,1.0,25000.0,0.0,150000.0,en 150 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.2442,0.0,70.0,70.0,46.0,1.0,5000.0,0.0,36000.0,en 61 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.342435,0.0,71.0,71.0,88.0,1.0,25000.0,0.0,125000.0,en 149 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.021375,0.0,72.0,72.0,37.0,1.0,5000.0,0.0,56000.0,en 9 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.48883,0.0,73.0,73.0,76.0,1.0,25000.0,0.0,55000.0,en 60 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.744505,0.0,74.0,74.0,17.0,1.0,10000.0,0.0,60000.0,en 60 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.292775,0.0,75.0,75.0,84.0,1.0,25000.0,0.0,150000.0,en 89 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.042325,0.0,76.0,76.0,14.0,1.0,10000.0,0.0,150000.0,en 30 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.403775,0.0,77.0,77.0,54.0,1.0,5000.0,0.0,150000.0,en 90 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.837585,0.0,78.0,78.0,20.0,1.0,10000.0,0.0,20000.0,en 90 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,1.268165,0.0,79.0,79.0,40.0,1.0,5000.0,0.0,14000.0,en 31 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.459805,0.0,80.0,80.0,60.0,1.0,25000.0,0.0,35000.0,en 5 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.374415,0.0,81.0,81.0,44.0,1.0,5000.0,0.0,150000.0,en 30 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.2512,0.0,82.0,82.0,26.0,1.0,10000.0,0.0,39000.0,en 150 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.217845,0.0,83.0,83.0,53.0,1.0,5000.0,0.0,104000.0,en 90 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.571845,0.0,84.0,84.0,31.0,1.0,5000.0,0.0,35000.0,en 6 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.074715,0.0,85.0,85.0,48.0,1.0,5000.0,0.0,105000.0,en 60 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.007085,0.0,86.0,86.0,49.0,1.0,5000.0,0.0,149000.0,en 59 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.127305,0.0,87.0,87.0,2.0,1.0,10000.0,0.0,61000.0,en 4 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.19203,0.0,88.0,88.0,36.0,1.0,5000.0,0.0,36000.0,en 9 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.017935,0.0,89.0,89.0,66.0,1.0,25000.0,0.0,55000.0,en 11 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,right,4.995335
